seed,perm,gmm_rmse,kde_rmse,rnade_rmse,realnvp_rmse,gmm_ise,kde_ise,rnade_ise,realnvp_ise,gmm_rel_L1,kde_rel_L1,rnade_rel_L1,realnvp_rel_L1
5221,9 7 4 17 3 10 12 1 14 11 16 0 8 19 2 15 18 13 5 6,1.9995664434677516e-05,0.0002736694770137736,0.00013447978118192748,0.00011099789640695422,6.174867987141725e-07,6.232530128646427e-05,1.2702820098200302e-05,1.6537616652194237e-05,0.13182425720463214,1.1227553116919398,0.5498639596533584,0.6968694342446848
5321,7 10 0 4 1 6 11 8 12 9 16 15 5 17 2 18 3 14 19 13,2.121633121240099e-05,0.00029573171615510655,0.0001052888876317815,0.00010915688250133465,6.146700212695389e-07,6.367567509217697e-05,1.0165707638300938e-05,1.7038622660670144e-05,0.13369273018782984,1.2057043434796284,0.534793029613498,0.7032024756949942
5421,1 2 11 7 5 15 14 3 19 6 10 8 13 16 9 17 18 12 0 4,1.9883820449624993e-05,0.0002915648743693401,0.00011781753991581427,0.00011017020796763966,6.738214319257055e-07,6.307726290400589e-05,1.3263512129065116e-05,1.8136129402170152e-05,0.13782980440834527,1.1768415155750684,0.5474380654627636,0.7369361229291355
5521,16 11 4 7 3 17 1 9 15 19 13 5 2 8 12 6 18 14 10 0,1.970405571818826e-05,0.0002721242799701568,0.0001409908277421397,0.00011177314967642265,5.818969770876164e-07,6.502004699090787e-05,1.4681494343385909e-05,1.7630883019034217e-05,0.1281012570721446,1.479421921760307,0.5624067089415403,0.7012181107058941
5621,9 4 19 13 0 3 1 11 8 17 10 2 16 5 12 18 7 15 6 14,1.733251112116951e-05,0.00027903235098928583,9.771067639876081e-05,0.00010381624670796486,4.999551020272938e-07,6.505709189050757e-05,1.1616187595483535e-05,1.6919601266786467e-05,0.12039744680011186,1.0949339710542325,0.5346053581435676,0.7339875130068313
5721,8 7 0 18 3 14 5 19 4 15 6 2 1 10 9 11 13 16 17 12,1.9455143788660824e-05,0.00030426263597113705,9.624139323241283e-05,0.00012174411251586137,5.815724708798508e-07,6.5921713027182e-05,1.0737052682052953e-05,2.0854115128980074e-05,0.12705227421419207,1.3055601016800336,0.5133365819227698,0.7554900025536284
5821,17 2 4 13 0 14 9 12 5 1 11 19 8 7 16 15 10 3 18 6,1.6229205468430085e-05,0.00030414597564303584,9.01288764578347e-05,0.00010688891191321548,4.974995141054046e-07,6.242900177951613e-05,9.360449088694917e-06,1.7433581430871972e-05,0.12200100686838332,1.1493114828502267,0.5009565422195396,0.6893467164367159
5451,17 6 13 1 11 0 12 8 9 7 19 4 3 16 5 18 10 15 14 2,1.755851769721056e-05,0.0002905318265551043,0.00011311571368603889,0.00012432475155837463,5.046856886869252e-07,6.603373007381283e-05,1.1024365440885694e-05,2.311386730703359e-05,0.11991794269357663,1.227900114050259,0.4941566672920637,0.8131834249182089
5452,4 12 11 14 19 9 8 6 16 15 10 7 0 17 13 5 1 2 18 3,1.6977062254621624e-05,0.0002557316037558828,0.00010957152302227773,0.00010821702000349122,5.284885464465051e-07,6.077763287527659e-05,1.2371485458128256e-05,1.8085389194294794e-05,0.12552216286993748,1.1018884260697517,0.5120948269014887,0.7355894800092073
5453,11 10 14 18 1 2 13 12 4 6 3 7 8 15 5 19 0 9 17 16,1.7627790137711687e-05,0.0003006158612559646,0.00012006982588895237,0.0001056966397097382,4.824921272873105e-07,6.684415220261597e-05,1.1852130058707017e-05,1.5840194629778735e-05,0.12006108148455459,1.2117864496853021,0.5091204998917896,0.6947978632632305
5454,7 2 8 4 3 10 15 1 19 5 18 17 0 14 11 9 6 13 16 12,1.708246637227286e-05,0.00029365509426185313,0.00012408052563050374,0.00010816762762298814,5.230583151941368e-07,6.411881144983422e-05,1.5468548234361762e-05,1.992148999317055e-05,0.1251546951688477,1.135857066584191,0.567272899078004,0.7524937197626803
81,7 8 15 6 5 2 0 9 4 17 12 10 13 18 19 16 11 14 1 3,1.732806926409554e-05,0.00028349237661452466,8.932547631817497e-05,0.00010995309673742562,4.869651251982462e-07,6.157344599818718e-05,9.991309629462245e-06,1.688008671900419e-05,0.12044926341028783,1.5010976475339917,0.523671136936877,0.7830446403869635
82,7 15 14 12 4 5 9 8 17 11 1 10 0 18 6 16 13 19 2 3,2.050965243239282e-05,0.00028767270740509576,9.38339763126628e-05,0.00010779491958247177,5.794652277157287e-07,6.476512861597207e-05,1.0020833260885381e-05,1.7424015195379607e-05,0.12880117062409702,1.166288411919271,0.5222783987312978,0.7057255135133136
83,13 9 1 6 2 17 5 15 11 14 4 10 12 3 19 16 0 7 8 18,2.113213073828719e-05,0.00027218563863779503,0.000113458842766575,0.00010768478021143025,6.770104275059614e-07,6.219616972326294e-05,1.26539985407709e-05,1.7558720338867816e-05,0.13734622963736506,1.257007025883812,0.5042335060046996,0.729704469530382
84,6 7 15 3 11 9 8 2 5 16 4 12 19 1 18 0 13 14 17 10,2.4513333507757287e-05,0.0003073703119476502,0.00010488416464378615,0.00011558728636902137,6.322492861348374e-07,6.681409694127151e-05,1.1824274293941356e-05,1.7910764465481667e-05,0.12462584520150204,1.2246950451632395,0.5345669133252031,0.7556195496546677
85,9 18 2 14 6 12 7 11 8 1 19 5 15 16 17 3 4 13 0 10,2.1556754716461962e-05,0.0003161878777266683,0.00015193343308517995,0.00012153684034664375,7.103910650257351e-07,6.709746693742185e-05,1.3550591010531385e-05,1.9020984755566246e-05,0.13999339328658975,1.0879376832299315,0.5244213036977462,0.7713894979429671
86,14 19 17 2 5 6 4 10 16 7 1 13 18 15 11 9 8 3 12 0,2.0059686044431735e-05,0.00033213904385994065,0.00011221570023423406,0.00010786837045108602,5.444039997073455e-07,6.720992099459253e-05,1.147971819762466e-05,1.5502318071774477e-05,0.12651167670063193,1.1369000284519255,0.5197201917126966,0.7100980793316831
87,2 4 1 5 17 7 11 12 14 8 10 18 9 0 3 16 19 15 13 6,1.94559456705726e-05,0.0002694977526434067,9.853195256019128e-05,9.588545090963146e-05,5.681804758351887e-07,6.265396980228593e-05,1.0914132920531469e-05,1.9252464974410406e-05,0.1266658875490489,1.233874545797845,0.5113542909310907,0.7388257232061469
88,6 9 11 7 8 18 3 13 2 12 16 14 19 1 5 4 10 17 15 0,1.840614760521493e-05,0.0002708946752937897,9.840740224737723e-05,0.00010490313378468412,5.785872961392147e-07,6.127942216816828e-05,1.162301042199664e-05,1.825018047159229e-05,0.13150331260452872,1.1403380120995892,0.5331212547085372,0.7209458855425506
89,3 6 12 9 16 18 0 15 17 7 14 1 2 8 10 5 11 13 4 19,1.796955651672575e-05,0.0002784794861826931,0.00010558065932802722,0.00010680585016422556,5.368581422866211e-07,6.291688572501658e-05,1.2732152223574142e-05,1.5905222117433286e-05,0.12503960491759086,1.1428355145836975,0.5531904983158001,0.7151661955559793
90,12 17 6 16 9 1 8 14 13 11 19 0 15 2 5 10 4 7 3 18,1.8051419978895127e-05,0.0002797990433062916,0.00010699681671495569,0.00010350427168837733,5.642347424321833e-07,6.067242067892964e-05,1.2669400066332764e-05,1.6732543843721804e-05,0.13253334123275062,1.3004022490548754,0.5334092307305083,0.7026238641642198
